headlines,publication_date,url,location,event_date,category,date,extracted_location,coordinates,latitude,longitude
Red Tide Arrives in JBay,2014-11-24,http://fishsa.co.za/red-tide-in-jbay/,Jeffreys Bay and Cape St Francis,2014-11-24 00:00:00.000000000,red tide,2014-11-24 00:00:00.000000000,"['Jeffreys Bay', 'Cape St Francis']","(-34.054836541742, 24.91143128061)",-34.054836541742,24.91143128061
Asia's abalone fever feared wiping out the gourmet mollusc in South Africa,2014-03-26,http://www.reuters.com/article/us-safrica-abalone-idUSBREA2P0E820140326,South African coastline,1970-01-01 00:00:00.000002014,illegal fishing,1970-01-01 00:00:00.000002014,[],"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
Fishing for answers at poaching's ground zero,2014-08-15,http://mg.co.za/article/2014-08-14-fishing-for-answers-at-poachings-ground-zero,Hout Bay,1970-01-01 00:00:00.000002014,illegal fishing,1970-01-01 00:00:00.000002014,['Hout Bay'],"(-34.026960409937, 18.360914774481)",-34.026960409937,18.360914774481
Organised crime unit investigating R5m abalone haul on Intercape bus,2016-04-07,http://www.news24.com/SouthAfrica/News/organised-crime-unit-investigating-r5m-abalone-haul-on-intercape-bus-20160407,Cape Town,2016-04-06 00:00:00.000000000,illegal fishing,2016-04-06 00:00:00.000000000,['Cape Town'],"(-33.9271093, 18.4200603)",-33.9271093,18.4200603
"Abalone worth R9m seized, 2 arrested in WC",2016-04-19,http://ewn.co.za/2016/04/19/Abalone-worth-9m-seized-2-arrested-in-WC,Langebaan,,illegal fishing,2016-04-19 00:00:00.000000000,['Langebaan'],"(-33.0694237, 18.0513696)",-33.0694237,18.0513696
Abalone worth R2-million seized by police,2016-04-29,https://www.enca.com/south-africa/abalone-worth-r2-million-seized-by-police,Caledon,2016-04-28 00:00:00.000000000,illegal fishing,2016-04-28 00:00:00.000000000,[],"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
Abalone poachers' network spread far and wide,2015-05-15,http://www.iol.co.za/news/crime-courts/abalone-poachers-network-spread-far-and-wide-2021823,"Roos Street, Blompark, Gansbaai",2015-10-01 00:00:00.000000000,illegal fishing,2015-10-01 00:00:00.000000000,"['Roos Street', 'Blompark', 'Gansbaai']","(-32.679569227956, 26.29794821612)",-32.679569227956,26.29794821612
R1.2m abalone bust on long distance bus,2016-04-06,http://www.news24.com/SouthAfrica/News/r12m-abalone-bust-on-long-distance-bus-20160406,Cape Town,2016-04-06 00:00:00.000000000,illegal fishing,2016-04-06 00:00:00.000000000,['Cape Town'],"(-33.9271093, 18.4200603)",-33.9271093,18.4200603
Police seize abalone worth R500000 in Belville,2016-05-13,https://www.enca.com/south-africa/police-seize-abalone-worth-500-000-in-bellville,Belville,2016-05-13 00:00:00.000000000,illegal fishing,2016-05-13 00:00:00.000000000,[],"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
Perlemoen bust on ex-WP player's farm,2016-05-10,http://www.iol.co.za/news/crime-courts/perlemoen-bust-on-ex-wp-players-farm-2019800,Greyton near calidon,2016-05-10 00:00:00.000000000,illegal fishing,2016-05-10 00:00:00.000000000,[],"(-25.7460186, 28.1871204)",-25.7460186,28.1871204
Cops make massive R17m abalone bust,2015-10-16,http://ewn.co.za/2015/10/16/Police-make-biggest-abalone-bust-worth-R17m,Philippi,2015-10-16 00:00:00.000000000,illegal fishing,2015-10-16 00:00:00.000000000,['Philippi'],"(-27.8718887, 26.6644421)",-27.8718887,26.6644421
